127.0.0.1 - - [26/Jul/2018:10:31:48 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:31:49 +0530] "GET /fundoo/ HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:31:49 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:38:34 +0530] "OPTIONS /fundoo/user/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:38:35 +0530] "POST /fundoo/user/login HTTP/1.1" 202 159
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:38:35 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:38:36 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5713
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:40:12 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5713
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:40:13 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5713
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:40:14 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5713
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:40:19 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5713
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:40:21 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5713
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:42:03 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5713
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:42:04 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5713
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:42:09 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5713
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:42:36 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5713
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:42:37 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5713
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:43:46 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5713
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:43:47 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5713
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:43:58 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5713
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:44:07 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5713
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:44:07 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5713
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:44:49 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5713
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:44:50 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5713
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:45:13 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5713
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:45:13 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5713
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:45:14 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5713
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:45:31 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5713
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:45:37 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5713
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:46:02 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5713
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:46:03 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5713
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:46:07 +0530] "OPTIONS /fundoo/updateNote/6 HTTP/1.1" 403 20
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:47:01 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5713
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:47:02 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5713
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:47:10 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5713
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:47:14 +0530] "OPTIONS /fundoo/updateNote/ HTTP/1.1" 403 20
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:47:22 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5713
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:47:22 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5713
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:47:26 +0530] "OPTIONS /fundoo/updateNote HTTP/1.1" 403 20
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:49:05 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:49:05 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5713
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:49:05 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5713
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:49:06 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5713
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:49:07 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5713
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:49:17 +0530] "OPTIONS /fundoo/updateNote HTTP/1.1" 403 20
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:51:02 +0530] "GET /fundoo/updateNote HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:51:17 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5713
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:51:18 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5713
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:51:19 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5713
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:51:33 +0530] "OPTIONS /fundoo/user/updateNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:51:33 +0530] "POST /fundoo/user/updateNote HTTP/1.1" 405 1114
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:56:29 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:56:29 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:56:57 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:56:58 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:57:01 +0530] "PUT /fundoo/user/updateNote HTTP/1.1" 202 59
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:57:01 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:57:11 +0530] "PUT /fundoo/user/updateNote HTTP/1.1" 202 59
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:57:11 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:57:32 +0530] "PUT /fundoo/user/updateNote HTTP/1.1" 202 59
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:57:32 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:58:15 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:58:15 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:58:16 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:58:26 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:58:56 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:58:57 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:59:00 +0530] "PUT /fundoo/user/updateNote HTTP/1.1" 202 59
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:59:00 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:59:19 +0530] "PUT /fundoo/user/updateNote HTTP/1.1" 202 59
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:59:19 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:59:19 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:59:41 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [26/Jul/2018:10:59:51 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [26/Jul/2018:11:00:26 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5401
