127.0.0.1 - - [02/Aug/2018:10:16:12 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:16:12 +0530] "GET /fundoo/ HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:16:13 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:16:22 +0530] "OPTIONS /fundoo/user/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:16:23 +0530] "POST /fundoo/user/login HTTP/1.1" 202 159
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:16:23 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:16:23 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:16:23 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:16:23 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:18:18 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:18:18 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:18:19 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:18:19 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:20:37 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:20:37 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:20:38 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:20:38 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:21:07 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:21:07 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:21:08 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:21:08 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:21:29 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:21:29 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:21:31 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:21:31 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:26:33 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:26:33 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:26:33 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:26:33 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:26:34 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:26:34 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:26:53 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:26:53 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:26:54 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:26:54 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:27:37 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:27:37 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:27:38 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:27:38 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:27:45 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:27:45 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:27:46 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:27:46 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:28:13 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:28:14 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [02/Aug/2018:10:28:15 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 3430
