127.0.0.1 - - [01/Sep/2018:10:03:28 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:03:29 +0530] "GET /fundoo/ HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:03:29 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:22:34 +0530] "OPTIONS /fundoo/user/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:22:35 +0530] "POST /fundoo/user/login HTTP/1.1" 202 223
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:22:35 +0530] "OPTIONS /fundoo/getAllCollaboratedNotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:22:35 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:22:35 +0530] "OPTIONS /fundoo/getUser HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:22:35 +0530] "OPTIONS /fundoo/getUser HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:22:35 +0530] "OPTIONS /fundoo/getAllCollaboratedNotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:22:35 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:22:35 +0530] "OPTIONS /fundoo/getUser HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:22:35 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:22:35 +0530] "OPTIONS /fundoo/getUser HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:22:35 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:22:35 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:22:35 +0530] "GET /fundoo/getAllCollaboratedNotes HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:22:35 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:22:35 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5351
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:22:35 +0530] "GET /fundoo/getAllCollaboratedNotes HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:22:35 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:22:35 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5351
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:22:35 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:22:35 +0530] "GET /fundoo/getAllCollaboratedNotes HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:22:35 +0530] "GET /fundoo/image/567.jpg HTTP/1.1" 200 69626
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:22:35 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:22:35 +0530] "OPTIONS /fundoo/user/displayLabel HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:22:36 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:22:36 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5351
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:22:36 +0530] "GET /fundoo/getAllCollaboratedNotes HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:22:36 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5351
