127.0.0.1 - - [17/Oct/2018:09:55:04 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [17/Oct/2018:09:55:05 +0530] "GET /fundoo/ HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [17/Oct/2018:09:55:05 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [17/Oct/2018:09:56:10 +0530] "OPTIONS /fundoo/user/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Oct/2018:09:56:11 +0530] "POST /fundoo/user/login HTTP/1.1" 202 235
0:0:0:0:0:0:0:1 - - [17/Oct/2018:09:56:11 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Oct/2018:09:56:11 +0530] "OPTIONS /fundoo/getUser HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Oct/2018:09:56:11 +0530] "GET /fundoo/image/11111.jpeg HTTP/1.1" 200 9411
0:0:0:0:0:0:0:1 - - [17/Oct/2018:09:56:11 +0530] "GET /fundoo/getUser HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [17/Oct/2018:09:56:11 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2184
0:0:0:0:0:0:0:1 - - [17/Oct/2018:09:57:32 +0530] "GET /fundoo/image/11111.jpeg HTTP/1.1" 200 9411
0:0:0:0:0:0:0:1 - - [17/Oct/2018:09:57:32 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2184
0:0:0:0:0:0:0:1 - - [17/Oct/2018:09:57:58 +0530] "OPTIONS /fundoo/user/updateNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Oct/2018:09:57:58 +0530] "PUT /fundoo/user/updateNote HTTP/1.1" 202 466
0:0:0:0:0:0:0:1 - - [17/Oct/2018:09:58:47 +0530] "GET /fundoo/image/11111.jpeg HTTP/1.1" 200 9411
0:0:0:0:0:0:0:1 - - [17/Oct/2018:09:58:47 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2185
